mode,size_label,payload_bytes,mean_ms,median_ms,stddev_ms,ci95_ms,throughput_MBs
cbc,1 KB,1024,0.0032,0.0031,0.0003,0.0001,319.1025
cbc,4 KB,4096,0.0079,0.0058,0.0024,0.0005,519.7310
cbc,16 KB,16384,0.0360,0.0329,0.0067,0.0014,455.3894
cbc,256 KB,262144,0.4873,0.4393,0.1434,0.0293,537.9663
cbc,1 MB,1048576,1.5437,1.4957,0.1805,0.0369,679.2580
cbc,8 MB,8388608,12.0545,11.4608,2.4996,0.5104,695.8892
cfb,1 KB,1024,0.0024,0.0024,0.0000,0.0000,422.2680
cfb,4 KB,4096,0.0074,0.0062,0.0055,0.0011,556.5217
cfb,16 KB,16384,0.0176,0.0163,0.0034,0.0007,929.9052
cfb,256 KB,262144,0.2354,0.2091,0.0542,0.0111,1113.6203
cfb,1 MB,1048576,1.0816,1.0015,0.1769,0.0361,969.4540
cfb,8 MB,8388608,9.8441,9.5779,0.7117,0.1453,852.1473
ofb,1 KB,1024,0.0028,0.0023,0.0007,0.0001,368.6105
ofb,4 KB,4096,0.0047,0.0045,0.0003,0.0001,877.2756
ofb,16 KB,16384,0.0166,0.0159,0.0030,0.0006,988.8346
ofb,256 KB,262144,0.2256,0.2063,0.0320,0.0065,1161.9498
ofb,1 MB,1048576,1.0714,1.0004,0.1648,0.0337,978.7016
ofb,8 MB,8388608,9.9587,9.7788,0.5751,0.1174,842.3383
ctr,1 KB,1024,0.0018,0.0017,0.0002,0.0000,575.2809
ctr,4 KB,4096,0.0050,0.0056,0.0018,0.0004,821.9948
ctr,16 KB,16384,0.0055,0.0049,0.0013,0.0003,2992.5114
ctr,256 KB,262144,0.0667,0.0476,0.0712,0.0145,3928.4869
ctr,1 MB,1048576,0.3876,0.3493,0.1057,0.0216,2704.9555
ctr,8 MB,8388608,4.7367,4.6046,0.5082,0.1038,1770.9759
gcm,1 KB,1024,0.0020,0.0020,0.0004,0.0001,505.4294
gcm,4 KB,4096,0.0025,0.0025,0.0002,0.0000,1640.3684
gcm,16 KB,16384,0.0061,0.0059,0.0004,0.0001,2701.4015
gcm,256 KB,262144,0.0847,0.0740,0.0276,0.0056,3096.6888
gcm,1 MB,1048576,0.7374,0.6841,0.1310,0.0268,1421.9310
gcm,8 MB,8388608,7.6284,7.2662,1.0236,0.2090,1099.6547
ccm,1 KB,1024,0.0030,0.0025,0.0017,0.0003,346.7660
ccm,4 KB,4096,0.0048,0.0048,0.0001,0.0000,857.2625
ccm,16 KB,16384,0.0174,0.0162,0.0034,0.0007,941.2305
ccm,256 KB,262144,0.3085,0.2843,0.0842,0.0172,849.6438
ccm,1 MB,1048576,1.5410,1.4490,0.2329,0.0476,680.4737
ccm,8 MB,8388608,12.9147,12.7114,0.6753,0.1379,649.5416
xts,1 KB,1024,0.0025,0.0025,0.0001,0.0000,402.1995
xts,4 KB,4096,0.0041,0.0041,0.0002,0.0000,988.4170
xts,16 KB,16384,0.0129,0.0112,0.0043,0.0009,1268.7006
xts,256 KB,262144,0.2127,0.1814,0.0741,0.0151,1232.2503
xts,1 MB,1048576,0.9592,0.8899,0.1719,0.0351,1093.1241
xts,8 MB,8388608,8.6654,8.4639,0.7697,0.1572,968.0610
